,0,1,2,3,4
0,1,P,5,a,A
1,1,P,5,a,A
2,1,P,5,a,A
3,1,P,5,a,A
4,1,D,5,a,A
5,1,P,5,a,A
6,1,P,5,a,A
7,1,D,5,a,A
8,2,P,5,a,A
9,2,D,5,a,B
10,1,P,5,a,A
11,1,P,5,b,A
12,1,D,5,b,B
13,1,P,5,b,B
14,1,D,5,b,B
15,1,P,5,b,B
16,1,D,5,b,B
17,1,D,5,c,B
18,1,P,5,b,B
19,1,D,5,b,B
20,1,P,5,b,B
21,1,D,5,b,B
22,1,P,5,b,B
23,1,D,5,b,B
24,2,P,5,c,B
25,2,D,5,c,B
26,2,P,5,c,B
27,2,D,5,c,B
28,2,P,5,c,B
29,2,D,5,c,B
30,2,P,5,c,B
31,2,D,5,c,B
32,3,P,5,a,B
33,3,D,5,c,B
34,3,P,5,b,B
35,3,D,5,c,C
36,3,P,5,b,B
37,3,D,5,c,C
38,4,D,5,c,C
39,4,D,5,c,C
40,4,P,5,b,C
41,4,D,5,c,C
42,4,P,5,c,B
43,4,D,5,d,C
44,5,D,5,d,C
45,4,D,5,d,C
46,5,D,5,d,C
47,5,D,8,c,C
48,5,D,8,d,C
49,5,D,5,c,C
50,5,D,9,d,C
51,3,P,5,b,C
52,3,D,5,b,C
53,3,D,5,b,C
54,3,D,5,b,C
55,1,P,5,a,D
56,1,D,5,a,D
57,4,P,7,a,D
58,4,D,7,a,D
59,2,P,5,a,D
60,2,D,5,a,D
61,3,P,5,a,D
62,3,D,5,a,D
63,6,P,5,a,E
64,6,D,5,a,E
65,6,P,2,c,E
66,1,P,5,a,E
67,2,P,5,b,D
68,2,D,5,b,D
69,6,P,5,c,D
70,3,P,5,b,D
71,3,D,5,b,D
72,3,P,5,c,E
73,3,P,5,b,E
74,3,D,5,c,E
75,4,D,5,a,D
76,4,D,5,c,D
77,5,D,5,d,E
78,4,D,5,a,C
79,2,P,5,a,D
80,2,D,5,a,D
81,3,P,5,b,D
82,3,D,5,c,E
83,4,D,5,d,D
84,5,D,5,d,E
85,2,D,5,b,D
86,3,D,5,c,D
87,3,P,5,b,E
88,4,D,5,d,D
